Date;Time;Kelurahan;
07/03/2022;08:22:32;Maphar;
07/03/2022;09:30:12;Maphar;
07/03/2022;10:10:20;Tamansari;
07/03/2022;11:45:12;Tamansari;
07/03/2022;12:50:19;Jatinegara;
07/03/2022;13:51:00;Pondok Kopi;
07/03/2022;14:00:05;Cakung;
07/03/2022;15:12:05;Cakung;
07/03/2022;16:15:19;Cakung;
07/03/2022;17:20:24;Jatinegara;
07/03/2022;18:24:25;Matraman;
07/03/2022;19:25:07;Maphar;
07/03/2022;20:26:08;Maphar;
07/03/2022;21:27:09;Maphar;
07/03/2022;22:28:08;Maphar;
07/03/2022;23:29:09;Maphar;
08/03/2022;00:30:10;Maphar;
08/03/2022;01:31:11;Maphar;
08/03/2022;02:33:12;Maphar;
08/03/2022;03:34:14;Maphar;
08/03/2022;04:35:15;Maphar;
08/03/2022;05:36:16;Maphar;
08/03/2022;06:37:17;Maphar;
08/03/2022;07:30:00;Maphar;
08/03/2022;08:35:26;Maphar;
08/03/2022;09:10:15;Tambora;
08/03/2022;10:15:10;Tambora;
08/03/2022;11:17:15;Tambora;
08/03/2022;12:07:15;Tamansari;
08/03/2022;13:10:15;Tamansari;
08/03/2022;14:15:20;Tamansari;
08/03/2022;15:30:20;Maphar;
08/03/2022;16:35:00;Maphar;
08/03/2022;17:40:00;Maphar;
08/03/2022;18:15:00;Maphar;
08/03/2022;19:10:00;Maphar;
08/03/2022;20:10:10;Maphar;
08/03/2022;21:11:02;Maphar;
08/03/2022;22:12:03;Maphar;
08/03/2022;23:13:15;Maphar;
09/03/2022;00:30:10;Maphar;
09/03/2022;01:15:00;Maphar;
09/03/2022;02:10:01;Maphar;
09/03/2022;03:15:00;Maphar;
09/03/2022;04:05:00;Maphar;
09/03/2022;05:20:15;Maphar;
09/03/2022;06:30:00;Maphar;
09/03/2022;07:35:10;Maphar;
09/03/2022;08:40:15;Maphar;
09/03/2022;09:45:50;Gang Kancil;
09/03/2022;10:15:00;Keramat;
